car,233,516,79,71
truck,928,402,112,45
van,481,322,53,35
car,702,410,82,34
car,804,408,92,37
car,695,312,56,23
motor,933,507,37,25
car,619,430,92,39
car,763,424,93,41
car,654,295,39,21
car,324,689,73,66
tricycle,490,568,36,56
motor,802,489,44,27
motor,196,419,34,26
motor,156,383,38,27
car,610,289,35,21
awning-tricycle,982,509,61,57
motor,523,449,32,22
motor,319,389,22,21
motor,116,664,31,50
pedestrian,66,353,18,35
pedestrian,320,572,26,51
car,689,298,43,25
motor,105,460,27,36
motor,846,532,45,32
motor,425,636,42,52
people,429,631,31,51
car,531,279,55,23
van,588,333,24,33
people,1011,496,21,40
motor,536,557,25,43
people,814,481,18,32
motor,404,452,41,33
motor,322,578,49,45
truck,404,487,79,86
car,630,293,31,22
awning-tricycle,402,488,83,87
tricycle,274,299,28,44
motor,316,482,29,40
motor,349,468,36,35
motor,429,655,43,70
people,494,565,27,43
tricycle,265,332,28,33
motor,907,542,30,39
tricycle,104,338,52,30
motor,566,547,24,44
motor,399,673,26,60
car,951,338,37,27
people,861,523,19,33
car,885,329,39,35
car,535,331,32,33
people,119,652,23,43
car,449,305,56,26
car,411,280,50,25
awning-tricycle,526,652,41,78
van,527,652,40,78
tricycle,267,317,30,45
tricycle,803,489,43,27
people,941,496,18,34
