car,986,126,54,105
car,1780,646,79,106
car,998,437,52,95
car,1579,665,93,96
car,1649,677,80,93
car,789,471,50,99
car,999,279,56,100
car,1706,651,82,105
car,934,395,51,105
car,1028,840,50,116
car,927,223,50,100
car,437,486,100,49
car,847,302,46,94
car,1346,336,103,48
car,953,822,49,113
car,1065,324,116,58
car,309,485,110,51
car,1840,647,60,102
car,1008,583,48,107
car,1754,250,99,77
car,148,489,114,50
motor,1079,533,23,42
motor,1245,35,48,35
truck,1242,397,129,56
van,733,151,72,132
motor,1234,335,45,28
bus,733,151,72,132
car,1582,601,107,52
motor,1540,739,29,47
car,1395,407,92,45
tricycle,787,652,27,59
car,1170,900,44,97
