car,1066,293,112,98
car,1230,147,56,54
car,972,254,107,95
car,1423,88,42,42
pedestrian,787,336,36,81
pedestrian,895,335,35,82
pedestrian,824,333,32,75
car,1242,97,44,43
car,1817,129,50,41
motor,332,603,120,75
tricycle,1170,348,51,87
motor,235,697,123,73
car,739,102,86,33
people,237,523,44,92
bicycle,205,561,118,66
motor,557,312,42,45
pedestrian,613,309,25,60
motor,405,491,101,58
car,1171,948,404,122
people,432,458,34,76
pedestrian,590,291,25,62
people,278,648,43,96
car,1749,279,90,83
people,382,568,42,83
motor,206,562,119,66
truck,1740,297,126,118
motor,1487,107,24,39
car,829,76,64,28
pedestrian,575,297,35,57
tricycle,1741,301,128,112
